smiles,group
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,training
C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,test
C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,training
C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O,test
C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O,training
C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,test
C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,training
C1=CC=C(C=C1)C2=NC3=C(N=C2N)N=C(N=C3N)N,test
C1=CC=C(C=C1)C2=NC3=C(N=C2N)N=C(N=C3N)N,training
C1=CC=C(C=C1)CC(C(=O)O)O,test
C1=CC=C(C=C1)CC(C(=O)O)O,training
C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,test
C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,training
C1=CC=C(C=C1)CCCC(=O)O,test
C1=CC=C(C=C1)CCCC(=O)O,training
C1=CC=C(C=C1)CCCC(=O)OCC(COC(=O)CCCC2=CC=CC=C2)OC(=O)CCCC3=CC=CC=C3,test
C1=CC=C(C=C1)CCCC(=O)OCC(COC(=O)CCCC2=CC=CC=C2)OC(=O)CCCC3=CC=CC=C3,training
C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O,test
C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O,training
C1=CC=C(C=C1)CCNN,test
C1=CC=C(C=C1)CCNN,training
C1=CC=C(C=C1)CO,test
C1=CC=C(C=C1)CO,training
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,test
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,training
C1=CC=C(C=C1)COC2=CC=C(C=C2)O,test
C1=CC=C(C=C1)COC2=CC=C(C=C2)O,training
C1=CC=C(C=C1)N2C=C(C=C(C2=O)C3=CC=CC=C3C#N)C4=CC=CC=N4,test
